test_id,gene,perturbation_type,gene_modifier,exogenous_node,exogenous_value,wt_value,perturbed_value,comparison_baseline,comparison_baseline_value,ratio,log2_fold_change,direction_threshold,predicted_direction,expected_direction,correct,phenotype_node,complexity_score,complexity_label,path_length,converged,iterations,evidence_doi
T106,MEA FIE,double_mutant,0.0,,,0.0,0.001416,WT,0.0,1.001416,0.002,1e-05,increased,increased,True,Seed_Size,2,medium,3,True,9,10.1073/pnas.1305175110
T107,WEI8 TAR1 TAR2,triple_knockout,0.0,,,0.0,-0.00053,WT,0.0,0.99947,-0.0008,1e-05,decreased,decreased,True,Seed_Size,1,easy,3,True,8,10.7554/eLife.20542
T109,ga1-3,knockout,0.0,,,0.0,0.002345,WT,0.0,1.002345,0.0034,1e-05,increased,increased,True,Seed_Size,1,easy,4,True,6,10.1242/dev.201853
T110,TTG2,heterozygous,0.5,,,0.0,-0.001714,WT,0.0,0.998286,-0.0025,1e-05,decreased,decreased,True,Seed_Size,1,easy,2,True,3,10.1371/journal.pbio.3000930
T111,VAL1 VAL2,double_knockout,0.0,,,0.0,0.018617,WT,0.0,1.018617,0.0266,1e-05,increased,increased,True,Seed_Size,2,medium,3,True,9,10.1104/pp.113.220988
T112,PKL,knockout,0.0,,,0.0,0.002725,WT,0.0,1.002725,0.0039,1e-05,increased,increased,True,Seed_Size,1,easy,3,True,8,10.1038/s41477-022-01237-4
T113,ARF2 GRF5,double_knockout,0.0,,,0.0,0.001901,WT,0.0,1.001901,0.0027,1e-05,increased,increased,True,Seed_Size,2,medium,2,True,7,10.1093/plphys/kiab014
T114,TCP14 TCP15,double_knockout,0.0,,,0.0,-0.002571,WT,0.0,0.997429,-0.0037,1e-05,decreased,decreased,True,Seed_Size,1,easy,3,True,4,10.1105/tpc.15.00587
T115,DA1 DAR1 DAR2,triple_knockout,0.0,,,0.0,0.000443,WT,0.0,1.000443,0.0006,1e-05,increased,increased,True,Seed_Size,1,easy,2,True,14,10.1105/tpc.15.00587
T116,SEUSS ANT,double_knockout,0.0,,,0.0,-0.019371,WT,0.0,0.980629,-0.0282,1e-05,decreased,decreased,True,Seed_Size,2,medium,2,True,4,10.1104/pp.107.114751
T117,SEUSS,knockout,0.0,,,0.0,-0.012857,WT,0.0,0.987143,-0.0187,1e-05,decreased,decreased,True,Seed_Size,1,easy,2,True,3,10.1104/pp.107.114751
T118,ABI4,knockout,0.0,,,0.0,0.006796,WT,0.0,1.006796,0.0098,1e-05,increased,unchanged,False,Seed_Size,1,easy,2,True,8,10.1104/pp.124.4.1752
T119,miR396a miR396b,double_knockout,0.0,,,0.0,0.033634,WT,0.0,1.033634,0.0477,1e-05,increased,increased,True,Seed_Size,1,easy,3,True,5,10.5483/BMBRep.2019.52.4.051
T120,BPC1,knockout,0.0,,,0.0,-0.001491,WT,0.0,0.998509,-0.0022,1e-05,decreased,decreased,True,Seed_Size,1,easy,3,True,6,10.1105/tpc.105.030551
T121,6-BA_CK_treatment,chemical_treatment,1.0,Cytokinin,1.0,0.0,0.002945,WT,0.0,1.002945,0.0042,1e-05,increased,increased,True,Seed_Size,1,easy,2,True,12,10.1038/s41467-024-48361-7
