network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Lateral Root Density,E0121,Osmotic stress,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0122,Low N treatment,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0123,MIR163,REGULATORY_RNA,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0124,ATGSTU17,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0125,Low Phosphorus,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0126,CLE26,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0127,BRI1,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0128,DAR2,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0129,Overexpression of 35,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0130,GmEXLB1 overexpressi,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0131,ATEOL1,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0132,SpCdc25 phosphatase,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0133,STTM167A,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0134,Zn- or Fe-deficiency,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0135,ascorbic acid,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0136,CRA20,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0137,BV,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0138,AUX,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0139,MFWRKY41,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0140,FR,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0141,blocking of autophag,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0142,NPA,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0143,IBA,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0144,Spectinomycin treatm,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0145,IDA,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0146,1500mgL-1 concentrat,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0147,Trichoderma strains,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0148,FRUCTOSE,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0149,SPP,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0150,NIT1,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0151,ERF,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0152,TOYOCAMYCIN,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0153,Recovery of redox ho,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0154,MP1,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0155,Nitrate responsive g,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0156,Blocking carotenoid ,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0157,CITRATE,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0158,A. thaliana,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0159,naphthalene-1-acetic,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0160,DEXAMETHASONE,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0161,Mutant protein(s),GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0162,decrease of endogeno,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0163,pericycle cells,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0164,Loss of CuAOζ,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0165,High salt exposure,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0166,PAT24,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0167,WL,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0168,Weisiensin B,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0169,Pi scarcity,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0170,SQR9,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0171,MIR393,REGULATORY_RNA,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0172,UPB14,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0173,BCWRKY33A,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0174,CLE2,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0175,URM11,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0176,AXR4,GENE,Lateral_Root_Density,PHENOTYPE,-1,repression,,0,
Lateral Root Density,E0177,ectopic expression o,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0178,de novo organogenesi,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0179,PSK,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0180,single exposures,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0181,Glutathione depletio,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0182,NAA,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
Lateral Root Density,E0183,RETINAL,GENE,Lateral_Root_Density,PHENOTYPE,1,activation,,0,
