network,edge_id,source,source_type,target,target_type,sign,effect,mechanism,n_evidence,doi_list
Plant Height,E0138,AVR2,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0139,A. thaliana,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0140,ATMSH1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0141,WAK2CTAP,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0142,PEAMT1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0143,CTR1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0144,Genetic incompatibil,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0145,Actin from Saccharom,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0146,RG,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0147,ADENINE,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0148,BAHD,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0149,Overexpression of mi,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0150,loss of all ERfs,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0151,DWF4,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0152,BES1,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0153,over-expression of P,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0154,SCYL2A,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0155,ATEDEM1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0156,ATNPR1,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0157,ET,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0158,ASL19,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0159,CPL4,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0160,YCZ,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0161,Mutation of exocyst ,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0162,HPY2,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0163,Ethylene,HORMONE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0164,High-salinity stress,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0165,ATPAT10,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0166,ATRIN4,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0167,LAC11,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0168,SUMM2,GENE,Plant_Height,PHENOTYPE,-1,repression,,0,
Plant Height,E0169,LRR,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
Plant Height,E0170,GA20OX1,GENE,Plant_Height,PHENOTYPE,1,activation,,0,
